buyer_id,name,state_license,address,city,state,zip,industry,type,buyer_group,buyer_type,disabled
130689,Toy town health care,MR281782,463 Maple St,Winchendon,39,01475,Recreational,Dispensary,Toy town health care,Multi,False
130692,"Kur Retailers, LLC",MR284652,46 Moore St,E. Longmeadow,39,01028,Recreational,Dispensary,"Kur Retailers, LLC",Multi,False
130690,MRM Industries,MP281798,160 Ayer Rd,Littleton,39,01460,Recreational,Dispensary,MRM Industries,Multi,False
130691,Cape Ann Cannabis / Old Planters of Cape Ann,MR282588,300 Newburyport Turnpike,Rowley,39,01969,Recreational,Dispensary,Cape Ann Cannabis / Old Planters of Cape Ann,Multi,False
130693,Mint Retail Facilities LLC,MR283295,768 Pleasant Street,Belmont,39,02478,Recreational,Dispensary,Mint Retail Facilities LLC,Multi,False
130694,ELEVATION RETAIL LLC,MR283295,0 PHILLIPS RD.,New Bedford,39,02740,Recreational,Dispensary,ELEVATION RETAIL LLC,Multi,False
130696,"UC Retail, LLC",MR284616,489 Main Street,Groton,39,01450,Recreational,Dispensary,"UC Retail, LLC",Multi,False
130695,Fairway Botanicals Inc.,MR281755,882-884 South St,Roslindale,39,02131,Recreational,Dispensary,Fairway Botanicals Inc.,Multi,False
130697,Four Trees Holyoke LLC,MR283237,1 Cabot Street,Holyoke,39,01040,Recreational,Dispensary,Four Trees Holyoke LLC,Multi,False
130698,"Metro Harvest, Inc.",MR282659,292 Bedford St.,Bridgewater,39,02745,Recreational,Dispensary,"Metro Harvest, Inc.",Multi,False
130700,"JMK Gardening, LLC  DBA Wonderland-Cannabis Co",MR284654,11 McCracken Road,Millbury,39,01527,Recreational,Dispensary,"JMK Gardening, LLC  DBA Wonderland-Cannabis Co",Multi,False
130701,Ocean Breeze Cultivators LLC,MR283656,9 Whistle Stop Way,Gloucester,39,01930,Recreational,Dispensary,Ocean Breeze Cultivators LLC,Multi,False
130704,"Silver Therapeutics, Inc. - Palmer",MR284328,1235 Thorndike St,Palmer,39,01069,Recreational,Dispensary,"Silver Therapeutics, Inc.",Multi,False
130699,Euphorium LLC,MR284560,15 Main St,Holyoke,39,01040,Recreational,Dispensary,Euphorium LLC,Multi,False
130705,Smokey Leaf,MR284276,45-49 Bank Row,Greenfield,39,,Recreational,Dispensary,Smokey Leaf,Multi,False
130703,NashMac LLC,MR281304,654 Washington Street,Braintree,39,,Recreational,Dispensary,NashMac LLC,Multi,False
130711,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,MR284843,727 atlantic ave,boston,39,,Recreational,Dispensary,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,Multi,False
130706,Fresh Fields Gloucester LLC,MR282315,"1700 Shawsheen St, 2nd Floor",Tewksbury,39,,Recreational,Dispensary,Fresh Fields Gloucester LLC,Multi,False
130708,Union Leaf Inc.,MR282570,71-72 Union Square,Somerville,39,,Recreational,Dispensary,Union Leaf Inc.,Multi,False
130710,Enlite Cannabis Dispensary LLC,MR284651,459 Main Street,Indian Orchard,39,,Recreational,Dispensary,Enlite Cannabis Dispensary LLC,Multi,False
130712,"Ganesh Wellness, Inc.",MR282740,47 High Street,Medford,39,,Recreational,Dispensary,"Ganesh Wellness, Inc.",Multi,False
130713,Joint Operations - Westborough,MR284026,110 Turnpike Road,Westborough,39,,Recreational,Dispensary,Joint Operations dba Jo (Mendon/Rowley/Gardner/Worcester),Multi,False
130714,Yamba,MR283511,31 Church Street,Cambridge,39,,Recreational,Dispensary,Yamba,Multi,False
130716,Greatest Hits - Dudley,MR281597,9 Cape Rd,Taunton,39,02780,Recreational,Dispensary,"Greatest Hits (DMA Holidings (MA), LLC)",Multi,False
229067,Greatest Hits - Lynn,MR282587,100 Ford St,Lynn,39,01904,Recreational,Dispensary,"Greatest Hits (DMA Holidings (MA), LLC)",Multi,False
229066,Greatest Hits - Dudley,MR283264,35 Chase Ave,Dudley,39,01571,Recreational,Dispensary,"Greatest Hits (DMA Holidings (MA), LLC)",Multi,False
130718,Gage Cannabis Company - Ayer,MR281248,38 Littleton Rd,Ayer,39,01432,Recreational,Dispensary,Gage Cannabis Company,Multi,False
130715,Major Bloom - Attleboro,MR283033,20 John Williams Street,Attleboro,39,02703,Recreational,Dispensary,"Major Bloom, LLC",Multi,False
130719,"Cannabis Connection, Inc - Westfield",MR281362,40 Westfield Industrial Park,Westfield,39,01085,Recreational,Dispensary,"Cannabis Connection, Inc",Multi,False
130724,Harbor House Collective,RMD3737,80 Eastern Ave,Chelsea,39,02150,Medical,Dispensary,Harbor House Collective,Multi,False
130720,kosa - Marlborough,MR283056,505 Boston Post Road West,Marlborough,39,01752,Recreational,Dispensary,kosa,Multi,False
130722,Potency,MR281594,1450 East St,Pittsfield,39,01201,Recreational,Dispensary,Potency,Multi,False
130723,Pioneer Valley Trading Co,MR284022,475 Southampton Road,Westfield,39,01085,Recreational,Dispensary,Pioneer Valley Trading Co,Multi,False
130721,"INDICA, LLC",MR284431,127 Columbia St,Adams,39,01220,Recreational,Dispensary,"INDICA, LLC",Multi,False
130725,East Boston Cannabis Co,MR284117,1006 Bennington St,East Boston,39,02128,Recreational,Dispensary,East Boston Cannabis Co,Multi,False
130728,"Blue Fox Brands- Massachusetts, Inc",Massachusetts,1 Cabot Street,Holyoke,39,01040,,,"Blue Fox Brands- Massachusetts, Inc",Multi,False
130727,Devine,MR282969,71 Main St,South Egremont,39,01258,Recreational,Dispensary,Devine,Multi,False
130726,M1 Cannabis,MC281252,13 commercial Way,Milford,39,01757,Recreational,Cultivator,,Multi,False
130729,Sunnyside,RMD686R,1 West st,Fall River,39,02720,,,Sunnyside,Multi,False
130732,Get Blossom,MP282139,1 Cabot St,Holyoke,39,01040,Recreational,Distributor,Get Blossom,Multi,False
130731,Mass Green Retail,,829 Boston St,Lynn,39,01905,Recreational,Dispensary,Mass Green Retail,Multi,False
